Time,Thrust
0,0
0.01,13.34858886
0.02,12.96720061
0.03,75.51487414
0.04,211.6704805
0.05,420.2898551
0.06,577.8032037
0.07,612.890923
0.08,577.0404272
0.09,487.0327994
0.1,376.8115942
0.11,284.5156369
0.12,301.6781083
0.13,355.8352403
0.14,412.66209
0.15,327.6125095
0.16,327.9938978
0.17,350.877193
0.18,401.9832189
0.19,427.9176201
0.2,360.7932876
0.21,409.2295957
0.22,384.057971
0.23,387.8718535
0.24,377.5743707
0.25,347.0633105
0.26,373.7604882
0.27,367.6582761
0.28,383.2951945
0.29,371.0907704
0.3,340.5797101
0.31,371.0907704
0.32,369.9466056
0.33,384.057971
0.34,376.0488177
0.35,354.6910755
0.36,385.583524
0.37,361.5560641
0.38,380.6254767
0.39,371.8535469
0.4,354.3096873
0.41,377.1929825
0.42,353.1655225
0.43,366.1327231
0.44,357.3607933
0.45,349.7330282
0.46,367.6582761
0.47,357.3607933
0.48,357.7421815
0.49,350.1144165
0.5,323.4172387
0.51,360.0305111
0.52,350.1144165
0.53,361.5560641
0.54,355.0724638
0.55,348.5888635
0.56,346.3005339
0.57,353.1655225
0.58,333.3333333
0.59,364.2257818
0.6,325.7055683
0.61,359.2677346
0.62,342.1052632
0.63,347.826087
0.64,372.6163234
0.65,316.5522502
0.66,364.2257818
0.67,309.3058734
0.68,367.6582761
0.69,321.5102975
0.7,343.2494279
0.71,330.2822273
0.72,321.8916857
0.73,306.6361556
0.74,325.7055683
0.75,326.0869565
0.76,339.4355454
0.77,332.9519451
0.78,320.3661327
0.79,329.5194508
0.8,306.6361556
0.81,338.6727689
0.82,340.9610984
0.83,322.6544622
0.84,343.2494279
0.85,297.8642258
0.86,347.826087
0.87,306.6361556
0.88,337.1472159
0.89,329.5194508
0.9,303.2036613
0.91,323.798627
0.92,295.5758963
0.93,337.5286041
0.94,320.747521
0.95,303.2036613
0.96,317.3150267
0.97,302.0594966
0.98,334.4774981
0.99,321.8916857
1,325.7055683
1.01,342.8680397
1.02,313.8825324
1.03,335.6216629
1.04,301.2967201
1.05,309.3058734
1.06,324.5614035
1.07,297.8642258
1.08,304.3478261
1.09,259.3440122
1.1,291.7620137
1.11,304.3478261
1.12,280.3203661
1.13,299.0083905
1.14,268.8787185
1.15,320.747521
1.16,287.1853547
1.17,316.5522502
1.18,300.5339436
1.19,289.8550725
1.2,297.1014493
1.21,292.5247902
1.22,297.1014493
1.23,291.3806255
1.24,309.6872616
1.25,301.6781083
1.26,322.6544622
1.27,279.9389779
1.28,279.5575896
1.29,305.8733791
1.3,261.6323417
1.31,317.3150267
1.32,215.8657513
1.33,291.3806255
1.34,269.641495
